plan_id,month,termination_req,termination_comp,termination_days,inserv_req,inserv_comp,inserv_days,rollover_req,rollover_comp,rollover_days,hardship_req,hardship_comp,hardship_days,loan_req,loan_comp,loan_days,exceptions_opened,exceptions_resolved,sla_breach_rate,hardship_allowed,loan_allowed,inserv_allowed,participants,median_balance,median_age,fee_distribution,fee_loan_origination,vendor_type,fee_tier,label
102345,2024-01,12,11,3.5,2,2,2.0,1,1,4.0,0,0,0.0,3,3,5.0,2,2,0.05,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-02,8,8,3.0,1,1,2.5,2,2,3.8,1,1,4.2,4,4,6.0,1,1,0.02,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-03,10,9,3.2,2,2,2.1,1,1,4.1,0,0,0.0,2,2,5.5,1,1,0.03,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-04,9,9,3.0,1,1,2.3,2,2,3.9,1,1,4.0,3,3,5.8,2,2,0.04,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-05,11,10,3.4,2,2,2.2,1,1,4.2,0,0,0.0,4,4,6.2,1,1,0.05,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-06,7,7,2.9,1,1,2.4,2,2,3.7,1,1,4.1,3,3,5.9,2,2,0.03,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-07,13,12,3.6,2,2,2.0,1,1,4.3,0,0,0.0,5,5,6.5,2,2,0.06,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-08,9,9,3.1,1,1,2.5,2,2,3.8,1,1,4.3,4,4,6.1,1,1,0.04,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-09,10,9,3.3,2,2,2.2,1,1,4.0,0,0,0.0,3,3,5.7,2,2,0.05,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-10,8,8,3.0,1,1,2.4,2,2,3.9,1,1,4.2,2,2,5.6,1,1,0.03,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-11,12,11,3.5,2,2,2.1,1,1,4.1,0,0,0.0,4,4,6.3,2,2,0.05,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
102345,2024-12,9,9,3.2,1,1,2.3,2,2,3.8,1,1,4.4,3,3,5.9,1,1,0.04,1,1,1,250,12000,45,25.0,50.0,custodian_A,low,1
204567,2024-01,5,4,6.0,0,0,0.0,3,2,7.0,2,1,8.0,6,5,10.0,4,3,0.15,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-02,7,6,5.5,1,1,3.0,1,1,6.0,0,0,0.0,5,5,9.0,2,2,0.10,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-03,6,5,5.8,0,0,0.0,2,2,6.5,1,1,7.5,4,4,9.5,3,3,0.12,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-04,8,7,5.6,1,1,2.8,1,1,6.2,0,0,0.0,6,6,9.8,2,2,0.11,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-05,5,4,6.2,0,0,0.0,3,2,7.1,2,1,8.2,5,5,10.2,4,3,0.14,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-06,7,6,5.7,1,1,2.9,1,1,6.3,0,0,0.0,4,4,9.4,2,2,0.13,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-07,6,5,5.9,0,0,0.0,2,2,6.6,1,1,7.8,6,6,10.1,3,3,0.12,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-08,8,7,5.5,1,1,2.7,1,1,6.1,0,0,0.0,5,5,9.7,2,2,0.11,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-09,5,4,6.1,0,0,0.0,3,2,7.2,2,1,8.1,4,4,9.9,4,3,0.13,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-10,7,6,5.6,1,1,2.9,1,1,6.4,0,0,0.0,6,6,10.0,2,2,0.12,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-11,6,5,5.8,0,0,0.0,2,2,6.7,1,1,7.9,5,5,9.6,3,3,0.14,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
204567,2024-12,7,6,5.7,1,1,2.8,1,1,6.2,0,0,0.0,4,4,9.8,2,2,0.12,1,1,0,120,8000,52,30.0,75.0,custodian_B,high,0
